LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,Flag Codes,DATE_CORRECTED
AUT,ALCOHOL,TOT,LT_CAP15,A,1978,13.5,,1/1/1978
AUT,ALCOHOL,TOT,LT_CAP15,A,1979,13.6,,1/1/1979
AUT,ALCOHOL,TOT,LT_CAP15,A,1980,13.6,,1/1/1980
AUT,ALCOHOL,TOT,LT_CAP15,A,1981,13.4,,1/1/1981
AUT,ALCOHOL,TOT,LT_CAP15,A,1982,13.5,,1/1/1982
AUT,ALCOHOL,TOT,LT_CAP15,A,1983,14,,1/1/1983
AUT,ALCOHOL,TOT,LT_CAP15,A,1984,13.8,,1/1/1984
AUT,ALCOHOL,TOT,LT_CAP15,A,1985,13.3,,1/1/1985
AUT,ALCOHOL,TOT,LT_CAP15,A,1986,13.6,,1/1/1986
AUT,ALCOHOL,TOT,LT_CAP15,A,1987,13.6,,1/1/1987
AUT,ALCOHOL,TOT,LT_CAP15,A,1988,13.7,,1/1/1988
AUT,ALCOHOL,TOT,LT_CAP15,A,1989,13.9,,1/1/1989
AUT,ALCOHOL,TOT,LT_CAP15,A,1990,14,,1/1/1990
AUT,ALCOHOL,TOT,LT_CAP15,A,1991,14,,1/1/1991
AUT,ALCOHOL,TOT,LT_CAP15,A,1992,13.6,,1/1/1992
AUT,ALCOHOL,TOT,LT_CAP15,A,1993,13.5,,1/1/1993
AUT,ALCOHOL,TOT,LT_CAP15,A,1994,12.5,,1/1/1994
AUT,ALCOHOL,TOT,LT_CAP15,A,1995,13.4,,1/1/1995
AUT,ALCOHOL,TOT,LT_CAP15,A,1996,13.5,,1/1/1996
AUT,ALCOHOL,TOT,LT_CAP15,A,1997,12.9,,1/1/1997
AUT,ALCOHOL,TOT,LT_CAP15,A,1998,12.9,,1/1/1998
AUT,ALCOHOL,TOT,LT_CAP15,A,1999,12.8,,1/1/1999
AUT,ALCOHOL,TOT,LT_CAP15,A,2000,13.2,,1/1/2000
AUT,ALCOHOL,TOT,LT_CAP15,A,2001,12.3,,1/1/2001
AUT,ALCOHOL,TOT,LT_CAP15,A,2002,12.1,,1/1/2002
